SiO2,TiO2,Al2O3,Cr2O3,Fetot,MnO,MgO,CaO,Na2O,K2O,P2O5,NiO,ZnO,Li2O,Fe3+/Fetot
51.28,0.65,7.55,0.64,3.38,0.08,15.43,18.35,1.56,,,0.03,,,0.085
51.09,0.7,7.81,0.61,3.2,0.3,15.12,19.03,1.7,,,0.04,,,0.026
52.8,0.33,6.21,0.7,2.37,0.12,14.95,20.93,1.56,,,0.03,,,0.119
50.46,0.64,6.99,0.79,3.94,0.13,16.35,19.59,1.1,0,,0.03,,,0.15
51.33,0.5,6.49,0.82,4.1,0.15,16.43,19.88,1.03,0,,0,,,0.16
51.32,0.17,5.86,1.09,3.64,0.12,16.37,19.53,1.11,0,,0.04,,,0.18
51.12,0.93,6.8,0.95,4.82,0.16,16.18,19.2,1.03,0,,0.03,,,0.14
52.08,0.12,5.7,1.01,2.4,0.12,15.78,21.81,1.38,0,,0.04,,,0.13
52.09,0.53,7.2,0.79,2.73,0.06,15.03,19.9,1.86,0,,0.05,,,0.18
51.54,0.32,7.3,0.93,2.77,0.09,14.67,20.04,1.89,0,,0.07,,,0.13
51.43,0.32,6.58,0.73,2.76,0.05,15.52,21.43,1.2,0,,0.07,,,0.24
54.57,,,,1.92,,18.36,24,0.14,,,,,,0.085
54.67,,,,1.81,,18.33,24.04,0.13,,,,,,0.07
54.12,,,,4.15,,17.35,23.44,0.08,,,,,,0.261
53.37,,,,6.3,,15.92,22.96,0.42,,,,,,0.29
55.16,,,,0.12,,18.8,25.5,0.09,,,,,,0
55.2,,,,1.51,,17.91,25.15,0.19,,,,,,0.033
54.65,,,,3.15,,16.91,24.02,0.68,,,,,,0.303
55.55,0.33,8.62,0.07,,0.04,10.7,15.53,5.43,0.06,,,,,0.364
53.92,0.83,8.95,0.03,,0.08,9.71,14.77,4.68,0.09,,,,,0.159
54.94,0.1,9.67,0.04,,0.02,9.35,15.1,6.03,0,,,,,0.455
55.15,0.09,9.31,0.04,,0.03,9.66,14.72,5.74,0.01,,,,,0.468
56.27,0.11,10.63,0.05,,0.03,9.29,14.01,6.21,0.01,,,,,0.2
